Filename;Filetype;Exif.Image.Make;Exif.Image.Model;Exif.Image.Orientation;Exif.Image.XResolution;Exif.Image.YResolution;Exif.Image.ResolutionUnit;Exif.Image.Software;Exif.Image.DateTime;Exif.Image.YCbCrPositioning;Exif.Image.ExifTag;Exif.Photo.ExposureTime;Exif.Photo.FNumber;Exif.Photo.ISOSpeedRatings;Exif.Photo.ExifVersion;Exif.Photo.DateTimeOriginal;Exif.Photo.DateTimeDigitized;Exif.Photo.ComponentsConfiguration;Exif.Photo.ShutterSpeedValue;Exif.Photo.ExposureBiasValue;Exif.Photo.MeteringMode;Exif.Photo.LightSource;Exif.Photo.Flash;Exif.Photo.FocalLength;Exif.Photo.FlashpixVersion;Exif.Photo.ColorSpace;Exif.Photo.PixelXDimension;Exif.Photo.PixelYDimension;Exif.Photo.InteroperabilityTag;Exif.Iop.InteroperabilityIndex;Exif.Iop.InteroperabilityVersion;Exif.Photo.CustomRendered;Exif.Photo.ExposureMode;Exif.Photo.WhiteBalance;Exif.Photo.DigitalZoomRatio;Exif.Photo.SceneCaptureType;Exif.Photo.SubjectDistanceRange;Exif.Thumbnail.Compression;Exif.Thumbnail.Orientation;Exif.Thumbnail.XResolution;Exif.Thumbnail.YResolution;Exif.Thumbnail.ResolutionUnit;Exif.Thumbnail.JPEGInterchangeFormat;Exif.Thumbnail.JPEGInterchangeFormatLength;Exif.Image.Flash;Exif.Image.LightSource;Exif.Image.MeteringMode;Exif.Image.0xa403;Exif.Image.ImageLength;Exif.Image.FNumber;Exif.Image.FocalLength;Exif.Image.ImageWidth;Exif.Photo.0x0201;Exif.Photo.0x0202;Exif.Image.ExposureTime;Exif.Image.0xa404;Exif.Image.ExposureBiasValue
DSC_0077.JPG;jpg;Sony Ericsson;MK16i;1;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:08:26 13:13:58;1;212;10/3200;26/10;80;48 50 50 48;2012:08:26 13:13:58;2012:08:26 13:13:58;1 2 3 0;832/100;0/3;2;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;1;72/1;72/1;2;730;11370;;;;;;;;;;;;;
DSC_0078.JPG;jpg;Sony Ericsson;MK16i;1;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:08:26 13:32:53;1;212;10/1600;26/10;80;48 50 50 48;2012:08:26 13:32:53;2012:08:26 13:32:53;1 2 3 0;732/100;0/3;255;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;1;72/1;72/1;2;730;7243;;;;;;;;;;;;;
DSC_0079.JPG;jpg;Sony Ericsson;MK16i;1;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:08:26 13:33:12;1;212;10/1000;26/10;80;48 50 50 48;2012:08:26 13:33:12;2012:08:26 13:33:12;1 2 3 0;664/100;0/3;255;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;1;72/1;72/1;2;730;8279;;;;;;;;;;;;;
DSC_0080.JPG;jpg;Sony Ericsson;MK16i;1;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:08:26 13:57:28;1;212;10/4000;26/10;80;48 50 50 48;2012:08:26 13:57:28;2012:08:26 13:57:28;1 2 3 0;864/100;0/3;2;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;1;72/1;72/1;2;730;10929;;;;;;;;;;;;;
DSC_0081.JPG;jpg;Sony Ericsson;MK16i;1;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:08:26 14:00:45;1;212;10/1600;26/10;80;48 50 50 48;2012:08:26 14:00:45;2012:08:26 14:00:45;1 2 3 0;732/100;0/3;255;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;1;72/1;72/1;2;730;6945;;;;;;;;;;;;;
DSC_0082.JPG;jpg;Sony Ericsson;MK16i;1;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:08:26 14:01:44;1;212;10/1000;26/10;80;48 50 50 48;2012:08:26 14:01:44;2012:08:26 14:01:44;1 2 3 0;664/100;0/3;2;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;1;72/1;72/1;2;730;7199;;;;;;;;;;;;;
DSC_0083.JPG;jpg;Sony Ericsson;MK16i;1;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:08:26 14:02:00;1;212;10/1250;26/10;80;48 50 50 48;2012:08:26 14:02:00;2012:08:26 14:02:00;1 2 3 0;696/100;0/3;2;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;1;72/1;72/1;2;730;8673;;;;;;;;;;;;;
DSC_0084.JPG;jpg;Sony Ericsson;MK16i;1;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:08:26 14:02:53;1;212;10/1250;26/10;125;48 50 50 48;2012:08:26 14:02:53;2012:08:26 14:02:53;1 2 3 0;696/100;0/3;2;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;1;72/1;72/1;2;730;7714;;;;;;;;;;;;;
DSC_0085.JPG;jpg;Sony Ericsson;MK16i;1;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:08:26 14:03:17;1;212;10/1250;26/10;125;48 50 50 48;2012:08:26 14:03:17;2012:08:26 14:03:17;1 2 3 0;696/100;0/3;255;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;1;72/1;72/1;2;730;7463;;;;;;;;;;;;;
DSC_0086.JPG;jpg;Sony Ericsson;MK16i;1;72/1;72/1;2;4.0.2.A.0.62_2d_f100;2012:08:26 19:59:25;1;212;10/320;26/10;80;48 50 50 48;2012:08:26 19:59:25;2012:08:26 19:59:25;1 2 3 0;500/100;0/3;2;0;24;410/100;48 49 48 48;1;3264;2448;594;R98;48 49 48 48;0;0;0;100/100;0;0;6;1;72/1;72/1;2;730;8087;;;;;;;;;;;;;
