Filename;Filetype;Exif.Photo.ExposureBiasValue;Exif.Photo.DateTimeOriginal;Exif.Image.Model;Exif.Image.Orientation;Exif.Photo.FocalLength;Exif.Photo.FNumber;Exif.Photo.MeteringMode;Exif.Photo.ExposureTime;Exif.Photo.Flash;Exif.Photo.ExposureProgram;Exif.Image.Make;Exif.Photo.ISOSpeedRatings
IMG_20200715_215932.jpg;jpg;0/10;2020:07:15 21:59:33;ELE-L29;0;7480/1000;240/100;5;10000000/1000000000;0;2;HUAWEI;64
IMG_20200715_220037.jpg;jpg;7/10;2020:07:15 22:00:38;ELE-L29;0;5580/1000;180/100;5;6112000/1000000000;0;2;HUAWEI;50
IMG_20200715_220038.jpg;jpg;7/10;2020:07:15 22:00:39;ELE-L29;0;5580/1000;180/100;5;6112000/1000000000;0;2;HUAWEI;50
IMG_20200715_221822.jpg;jpg;3/10;2020:07:15 22:18:23;ELE-L29;0;7480/1000;240/100;5;10000000/1000000000;0;2;HUAWEI;80
IMG_20200715_221926.jpg;jpg;3/10;2020:07:15 22:19:27;ELE-L29;0;7480/1000;240/100;5;20000000/1000000000;0;2;HUAWEI;50
IMG_20200716_135402.jpg;jpg;0/10;2020:07:16 13:54:03;ELE-L29;0;3360/1000;200/100;5;1935000/1000000000;24;2;HUAWEI;50
IMG_20200716_135404.jpg;jpg;0/10;2020:07:16 13:54:06;ELE-L29;0;3360/1000;200/100;5;2124000/1000000000;24;2;HUAWEI;50
IMG_20200716_135508.jpg;jpg;0/10;2020:07:16 13:55:09;ELE-L29;0;3360/1000;200/100;5;1544000/1000000000;24;2;HUAWEI;50
IMG_20200716_153322.jpg;jpg;0/10;2020:07:16 15:33:23;ELE-L29;0;7480/1000;240/100;5;798000/1000000000;0;2;HUAWEI;50
IMG_20200716_220415.jpg;jpg;0/10;2020:07:16 22:04:16;ELE-L29;0;5580/1000;180/100;5;10000000/1000000000;0;2;HUAWEI;125
IMG_20200716_220424.jpg;jpg;0/10;2020:07:16 22:04:26;ELE-L29;0;7480/1000;240/100;5;20000000/1000000000;0;2;HUAWEI;160
IMG_20200716_220424_1.jpg;jpg;0/10;2020:07:16 22:04:27;ELE-L29;0;7480/1000;240/100;5;20000000/1000000000;0;2;HUAWEI;160
IMG_20200716_220449.jpg;jpg;0/10;2020:07:16 22:04:51;ELE-L29;0;7480/1000;240/100;5;20000000/1000000000;0;2;HUAWEI;160
IMG_20200716_221105.jpg;jpg;0/10;2020:07:16 22:11:06;ELE-L29;0;7480/1000;240/100;5;10000000/1000000000;0;2;HUAWEI;80
IMG_20200716_221343.jpg;jpg;0/10;2020:07:16 22:13:44;ELE-L29;0;3360/1000;200/100;5;30000000/1000000000;24;2;HUAWEI;500
IMG_20200716_221402.jpg;jpg;0/10;2020:07:16 22:14:03;ELE-L29;0;3360/1000;200/100;5;30000000/1000000000;24;2;HUAWEI;640
IMG_20200716_221424.jpg;jpg;0/10;2020:07:16 22:14:25;ELE-L29;0;3360/1000;200/100;5;30000000/1000000000;24;2;HUAWEI;500
IMG_20200716_221558.jpg;jpg;0/10;2020:07:16 22:15:59;ELE-L29;0;3360/1000;200/100;5;40000000/1000000000;24;2;HUAWEI;640
IMG_20200716_221618.jpg;jpg;0/10;2020:07:16 22:16:20;ELE-L29;0;3360/1000;200/100;5;40000000/1000000000;24;2;HUAWEI;640
IMG_20200716_221725.jpg;jpg;0/10;2020:07:16 22:17:26;ELE-L29;0;3360/1000;200/100;5;30000000/1000000000;24;2;HUAWEI;500
IMG_20200716_221744.jpg;jpg;0/10;2020:07:16 22:17:45;ELE-L29;0;3360/1000;200/100;5;30000000/1000000000;24;2;HUAWEI;400
IMG_20200716_221856.jpg;jpg;0/10;2020:07:16 22:18:55;ELE-L29;0;7480/1000;240/100;5;2500000000/500000000;0;2;HUAWEI;80
IMG_20200716_222007.jpg;jpg;0/10;2020:07:16 22:20:06;ELE-L29;0;7480/1000;240/100;5;2500000000/500000000;0;2;HUAWEI;64
