Filename;Filetype;Exif.Photo.ExposureTime;Exif.Photo.FocalLength;Exif.Photo.ISOSpeedRatings;Exif.Photo.FNumber;Exif.Photo.ExposureProgram;Exif.Photo.MeteringMode;Exif.Photo.Flash;Exif.Image.Orientation;Exif.Photo.DateTimeOriginal;Exif.Image.Make;Exif.Photo.ExposureBiasValue;Exif.Image.Model
IMG_0110.JPG;jpg;1/8;5000/1000;1600;28/10;;5;24;1;2012:06:25 21:26:55;Canon;0/3;Canon IXUS 117 HS
IMG_0113.JPG;jpg;1/60;5000/1000;800;28/10;;5;89;1;2012:06:26 11:51:04;Canon;0/3;Canon IXUS 117 HS
IMG_0114.JPG;jpg;1/25;5000/1000;800;28/10;;5;24;1;2012:06:26 11:51:27;Canon;0/3;Canon IXUS 117 HS
IMG_0115.JPG;jpg;1/640;5000/1000;100;28/10;;5;24;1;2012:06:26 18:30:04;Canon;0/3;Canon IXUS 117 HS
IMG_0116.JPG;jpg;1/250;5000/1000;400;80/10;;5;24;1;2012:06:26 18:30:37;Canon;0/3;Canon IXUS 117 HS
IMG_0117.JPG;jpg;1/320;5000/1000;400;80/10;;5;24;1;2012:06:26 18:30:55;Canon;0/3;Canon IXUS 117 HS
IMG_0120.JPG;jpg;1/60;5000/1000;640;28/10;;5;24;1;2012:06:26 20:09:56;Canon;0/3;Canon IXUS 117 HS
IMG_0122.JPG;jpg;1/160;5000/1000;100;28/10;;5;24;1;2012:06:27 20:08:02;Canon;0/3;Canon IXUS 117 HS
IMG_0123.JPG;jpg;1/800;5000/1000;125;28/10;;5;16;1;2012:06:27 20:08:37;Canon;0/3;Canon IXUS 117 HS
IMG_0128.JPG;jpg;1/100;5000/1000;400;28/10;;5;24;1;2012:06:27 20:27:14;Canon;0/3;Canon IXUS 117 HS
IMG_0129.JPG;jpg;1/60;5000/1000;400;28/10;;5;24;1;2012:06:27 20:29:16;Canon;0/3;Canon IXUS 117 HS
IMG_0131.JPG;jpg;1/60;6008/1000;400;32/10;;5;24;1;2012:06:27 20:29:56;Canon;0/3;Canon IXUS 117 HS
IMG_0132.JPG;jpg;1/60;6008/1000;400;32/10;;5;24;1;2012:06:27 20:30:09;Canon;0/3;Canon IXUS 117 HS
IMG_0133.JPG;jpg;1/60;6008/1000;500;32/10;;5;24;1;2012:06:27 20:30:24;Canon;0/3;Canon IXUS 117 HS
IMG_0134.JPG;jpg;1/60;6008/1000;500;32/10;;5;24;1;2012:06:27 20:30:44;Canon;0/3;Canon IXUS 117 HS
IMG_0137.JPG;jpg;1/50;5000/1000;800;28/10;;5;24;1;2012:06:27 20:32:32;Canon;0/3;Canon IXUS 117 HS
IMG_0138.JPG;jpg;1/25;5000/1000;400;28/10;;5;89;1;2012:06:27 20:33:23;Canon;0/3;Canon IXUS 117 HS
IMG_0143.JPG;jpg;1/15;5000/1000;1600;28/10;;5;24;1;2012:06:28 00:01:48;Canon;0/3;Canon IXUS 117 HS
IMG_0146.JPG;jpg;1/15;5000/1000;400;28/10;;5;89;1;2012:06:28 00:02:58;Canon;0/3;Canon IXUS 117 HS
IMG_0149.JPG;jpg;1/200;5000/1000;320;80/10;;5;24;1;2012:06:28 11:17:35;Canon;0/3;Canon IXUS 117 HS
IMG_0150.JPG;jpg;1/1250;5000/1000;200;28/10;;5;24;1;2012:06:28 11:17:57;Canon;0/3;Canon IXUS 117 HS
IMG_0151.JPG;jpg;1/15;5000/1000;400;28/10;;5;89;1;2012:06:28 11:18:16;Canon;0/3;Canon IXUS 117 HS
IMG_0153.JPG;jpg;1/640;5000/1000;250;28/10;;5;24;1;2012:06:28 11:19:54;Canon;0/3;Canon IXUS 117 HS
IMG_0154.JPG;jpg;1/320;5000/1000;200;80/10;;5;24;1;2012:06:28 11:23:25;Canon;0/3;Canon IXUS 117 HS
IMG_0155.JPG;jpg;1/200;5000/1000;100;80/10;;5;24;1;2012:06:28 11:57:09;Canon;0/3;Canon IXUS 117 HS
IMG_0156.JPG;jpg;1/1250;5000/1000;160;28/10;;5;24;1;2012:06:28 12:10:08;Canon;0/3;Canon IXUS 117 HS
